"Year","PNA","Measure","variable","value"
2013,"PNA Member","Tokelau","Fish_caught_in_NonFFA_Member_EEZ",0
2014,"PNA Member","Tokelau","Fish_caught_in_NonFFA_Member_EEZ",0
2015,"PNA Member","Tokelau","Fish_caught_in_NonFFA_Member_EEZ",0
2016,"PNA Member","Tokelau","Fish_caught_in_NonFFA_Member_EEZ",0
2017,"PNA Member","Tokelau","Fish_caught_in_NonFFA_Member_EEZ",0
2018,"PNA Member","Tokelau","Fish_caught_in_NonFFA_Member_EEZ",0
2019,"PNA Member","Tokelau","Fish_caught_in_NonFFA_Member_EEZ",0
2020,"PNA Member","Tokelau","Fish_caught_in_NonFFA_Member_EEZ",0
2021,"PNA Member","Tokelau","Fish_caught_in_NonFFA_Member_EEZ",0
2022,"PNA Member","Tokelau","Fish_caught_in_NonFFA_Member_EEZ",0
2023,"PNA Member","Tokelau","Fish_caught_in_NonFFA_Member_EEZ",0
1997,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
1998,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
1999,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2000,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2001,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2002,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2003,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2004,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2005,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2006,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2007,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2008,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2009,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2010,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2011,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2012,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2013,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2014,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2015,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2016,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2017,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2018,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2019,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2020,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2021,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2022,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
2023,"Non-PNA Member","Tonga","Fish_caught_in_NonFFA_Member_EEZ",0
1997,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
1998,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
1999,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2000,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2001,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2002,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2003,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2004,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2005,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2006,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2007,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2008,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2009,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2010,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2011,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2012,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2013,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2014,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2015,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2016,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2017,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2018,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2019,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2020,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2021,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2022,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
2023,"PNA Member","Tuvalu","Fish_caught_in_NonFFA_Member_EEZ",0
1997,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
1998,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
1999,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2000,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2001,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2002,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2003,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2004,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2005,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2006,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2007,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2008,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2009,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2010,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2011,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2012,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2013,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2014,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2015,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2016,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2017,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2018,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2019,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2020,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2021,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2022,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
2023,"Non-PNA Member","US","Fish_caught_in_NonFFA_Member_EEZ",0
1997,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",42400
1998,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",26453
1999,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",16426
2000,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",6796
2001,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",10863
2002,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",12818
2003,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",8356
2004,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",9120
2005,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",7708
2006,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",11247
2007,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",5986
2008,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",4419
2009,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",5834
2010,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",3226
2011,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",3756
2012,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",7989
2013,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",8422
2014,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",8918
2015,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",7967
2016,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",9022
2017,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",10605
2018,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",7828
2019,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",8394
2020,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",11502
2021,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",11581
2022,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",12140
2023,"Non-PNA Member","US (includes territories, ex Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",6908
1997,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
1998,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
1999,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2000,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2001,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2002,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2003,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2004,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2005,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2006,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2007,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2008,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2009,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2010,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2011,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2012,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2013,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2014,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2015,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2016,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2017,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2018,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2019,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2020,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2021,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2022,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
2023,"Non-PNA Member","US (includes territories, incl Am Samoa)","Fish_caught_in_NonFFA_Member_EEZ",0
1997,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
1998,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
1999,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2000,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2001,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2002,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2003,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2004,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2005,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2006,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2007,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2008,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2009,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2010,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2011,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2012,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2013,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2014,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2015,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2016,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2017,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2018,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2019,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2020,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2021,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2022,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
2023,"Non-PNA Member","Vanuatu","Fish_caught_in_NonFFA_Member_EEZ",0
1997,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",0
1998,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",0
1999,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",0
2000,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",33632
2001,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",35400
2002,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",37683
2003,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",37458
2004,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",50521
2005,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",52409
2006,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",52573
2007,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",54210
2008,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",49903
2009,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",44241
2010,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",41665
2011,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",49584
2012,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",65556
2013,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",78631
2014,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",80842
2015,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",89063
2016,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",123076
2017,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",112626
2018,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",120535
2019,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",109315
2020,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",95540
2021,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",89589
2022,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",99814
2023,"Non-PNA Member","Vietnam","Fish_caught_in_NonFFA_Member_EEZ",97145
1997,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",58
1998,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",43
1999,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",38
2000,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",0
2001,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",12
2002,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",60
2003,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",18
2004,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",0
2005,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",65
2006,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",15
2007,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",0
2008,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",29
2009,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",139
2010,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",43
2011,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",24
2012,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",7
2013,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",9
2014,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",7
2015,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",6
2016,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",7
2017,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",5
2018,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",11
2019,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",19
2020,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",13
2021,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",13
2022,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",4
2023,"Non-PNA Member","Wallis and Futuna","Fish_caught_in_NonFFA_Member_EEZ",4
1997,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
1998,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
1999,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2000,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2001,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2002,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2003,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2004,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2005,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2006,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2007,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2008,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2009,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2010,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2011,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2012,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2013,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2014,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2015,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2016,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2017,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2018,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2019,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2020,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2021,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2022,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
2023,"Non-PNA Member","American Samoa","Fish_Caught_international_waters",0
1997,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
1998,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
1999,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2000,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2001,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2002,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2003,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2004,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2005,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2006,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2007,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2008,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2009,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2010,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2011,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2012,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2013,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2014,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2015,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2016,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2017,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2018,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2019,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2020,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2021,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2022,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
2023,"Non-PNA Member","Australia","Fish_Caught_international_waters",0
1997,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
1998,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
1999,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2000,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2001,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2002,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2003,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2004,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2005,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2006,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2007,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2008,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2009,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2010,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2011,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2012,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2013,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2014,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2015,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2016,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2017,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2018,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2019,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2020,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2021,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2022,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
2023,"Non-PNA Member","Australia (includes Norfolk Island)","Fish_Caught_international_waters",0
1997,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
1998,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
1999,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
2000,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
2001,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
2002,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
2003,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
2004,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
2005,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
2006,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
2007,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
2008,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
2009,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
2010,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
2011,"Non-PNA Member","Belize","Fish_Caught_international_waters",0
