STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,CURRENCY,Currency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2016,,413717,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2017,,486400,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2018,,566497,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2019,,593585,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2020,,397791,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2021,,349192,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,CK,Cook Islands,GDPC,"Gross Domestic Product, current prices",2022,,456988,,NZD,New Zealand Dollar,3,thousands,,,,,,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,TK,Tokelau,GDPCPC,"Gross Domestic Product per capita, current prices",2013,,7846,,NZD_POP,New Zealand Dollar per person,,,,,,,"10380 thousands NZD / 1323 persons. ",
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,TK,Tokelau,GDPCPC,"Gross Domestic Product per capita, current prices",2014,,8120,,NZD_POP,New Zealand Dollar per person,,,,,,,"11238 thousands NZD / 1384 persons. ",
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,TK,Tokelau,GDPCPC,"Gross Domestic Product per capita, current prices",2015,,8286,,NZD_POP,New Zealand Dollar per person,,,,,,,"11973 thousands NZD / 1445 persons. ",
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,TK,Tokelau,GDPCPC,"Gross Domestic Product per capita, current prices",2016,,9336,,NZD_POP,New Zealand Dollar per person,,,,,,,"14042 thousands NZD / 1504 persons. ",
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,TK,Tokelau,GDPCPC,"Gross Domestic Product per capita, current prices",2017,,9879,,NZD_POP,New Zealand Dollar per person,,,,,,,"14838 thousands NZD / 1502 persons. ",
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,TK,Tokelau,GDPCPC,"Gross Domestic Product per capita, current prices",2018,,10086,,NZD_POP,New Zealand Dollar per person,,,,,,,"15200 thousands NZD / 1507 persons. ",
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,TK,Tokelau,GDPCPC,"Gross Domestic Product per capita, current prices",2019,,10446,,NZD_POP,New Zealand Dollar per person,,,,,,,"15700 thousands NZD / 1503 persons. ",
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,TK,Tokelau,GDPCPC,"Gross Domestic Product per capita, current prices",2020,,10491,,NZD_POP,New Zealand Dollar per person,,,,,,,"15800 thousands NZD / 1506 persons. ",
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,DOM,Domestic currency,TK,Tokelau,GDPCPC,"Gross Domestic Product per capita, current prices",2021,,10526,,NZD_POP,New Zealand Dollar per person,,,,,,,"15800 thousands NZD / 1501 persons. ",
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2005,,2162,,USD_POP,USD per person,,,,,,,21681 thousands USD / 10030 persons. Converted 0.7637 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2006,,2260,,USD_POP,USD per person,,,,,,,22893 thousands USD / 10130 persons. Converted 0.753 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2007,,2641,,USD_POP,USD per person,,,,,,,27017 thousands USD / 10230 persons. Converted 0.8368 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2008,,2905,,USD_POP,USD per person,,,,,,,30006 thousands USD / 10330 persons. Converted 0.8388 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2009,,2581,,USD_POP,USD per person,,,,,,,26925 thousands USD / 10430 persons. Converted 0.7799 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2010,,2982,,USD_POP,USD per person,,,,,,,31396 thousands USD / 10530 persons. Converted 0.9173 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2011,,3640,,USD_POP,USD per person,,,,,,,38252 thousands USD / 10510 persons. Converted 1.0315 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2012,,3550,,USD_POP,USD per person,,,,,,,37201 thousands USD / 10480 persons. Converted 1.0354 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2013,,3548,,USD_POP,USD per person,,,,,,,37108 thousands USD / 10460 persons. Converted 0.9654 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2014,,3527,,USD_POP,USD per person,,,,,,,36782 thousands USD / 10430 persons. Converted 0.9014 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2015,,3366,,USD_POP,USD per person,,,,,,,35040 thousands USD / 10410 persons. Converted 0.7513 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2016,,3974,,USD_POP,USD per person,,,,,,,41295 thousands USD / 10390 persons. Converted 0.7434 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2017,,4371,,USD_POP,USD per person,,,,,,,45275 thousands USD / 10359 persons. Converted 0.7664 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPCPC,"Gross Domestic Product per capita, current prices",2018,,4607,,USD_POP,USD per person,,,,,,,48018 thousands USD / 10422 persons. Converted 0.7472 AUD/USD,
